日期,开盘价,最高价,最低价,收盘价,成交量,成交额,换手率,未复权开盘价,未复权最高价,未复权最低价,未复权收盘价,前复权比例系数,5日成交量比
2026-07-23,18.35,19.78,18.29,19.73,5530187.0,106099193.0,0.07779818109501443,18.35,19.78,18.29,19.73,1.0,1.254506031020957
2026-07-24,19.57,19.72,19.08,19.11,3982500.0,77213530.0,0.05602545740512843,19.57,19.72,19.08,19.11,1.0,0.8098105317867663
2026-07-27,19.19,20.75,19.19,20.4,6085600.0,123006585.0,0.08561168200493398,19.19,20.75,19.19,20.4,1.0,1.2539184436246253
2026-07-28,20.26,21.1,19.99,20.21,4501700.0,92695916.0,0.06332951703720444,20.26,21.1,19.99,20.21,1.0,0.8996119979867492
2026-07-29,20.57,21.08,19.91,20.87,5012910.0,103279652.0,0.07052117405668358,20.57,21.08,19.91,20.87,1.0,1.0534983772303075
2026-07-30,20.9,20.98,20.3,20.58,3570509.0,73802155.0,0.05022960449318963,20.9,20.98,20.3,20.58,1.0,0.7108914992961584
2026-07-31,20.62,21.03,20.52,20.62,3276700.0,68042134.0,0.04609632549388182,20.62,21.03,20.52,20.62,1.0,0.7076121899075891
2026-08-03,18.67,19.58,18.3,19.37,13716109.0,259343625.0,0.19295700704170715,18.67,19.58,18.3,19.37,1.0,3.055163936664612
2026-08-04,19.36,20.08,19.06,19.64,9698100.0,190766208.0,0.13643201216840578,19.36,20.08,19.06,19.64,1.0,1.6121622473462933
2026-08-05,19.64,19.93,19.51,19.88,5237469.0,103626399.0,0.07368025018711377,19.64,19.93,19.51,19.88,1.0,0.7423910386046192
2026-08-06,19.92,20.07,19.26,19.68,4456300.0,87586276.0,0.0626908338567417,19.92,20.07,19.26,19.68,1.0,0.6276675660281968
2026-08-07,19.66,19.88,19.06,19.67,3773500.0,73528149.0,0.05308526390916563,19.66,19.88,19.06,19.67,1.0,0.5185561900534066
2026-08-10,19.85,20.65,19.83,20.62,5003678.0,101518487.0,0.07039129909804852,19.85,20.65,19.83,20.62,1.0,0.6783456454754878
2026-08-11,20.57,20.57,19.9,20.3,3765188.0,76312426.0,0.05296833142907739,20.57,20.57,19.9,20.3,1.0,0.6683200890679759
2026-08-12,20.4,20.77,20.32,20.51,3061503.0,62909177.0,0.043068953150577,20.4,20.77,20.32,20.51,1.0,0.6884071804744845
2026-08-13,20.57,20.69,19.92,19.95,3375800.0,68284591.0,0.04749045551995796,20.57,20.69,19.92,19.95,1.0,0.8414186341102112
2026-08-14,20.03,20.41,19.7,19.9,3103753.0,61967546.0,0.04366332240992833,20.03,20.41,19.7,19.9,1.0,0.8176520359759699
2026-08-17,20.04,20.23,19.63,20.23,3469553.0,69477191.0,0.048809364423436426,20.04,20.23,19.63,20.23,1.0,0.9474516057468733
2026-08-18,20.2,20.58,19.46,19.69,3798077.0,75306944.0,0.05343101096921481,20.2,20.58,19.46,19.69,1.0,1.132010896412254
2026-08-19,19.32,19.62,18.86,18.86,3653753.0,70074671.0,0.05140067371509359,19.32,19.62,18.86,18.86,1.0,1.0868645532434837
2026-08-20,18.99,19.26,18.81,19.06,2706200.0,51526592.0,0.038070582003705854,18.99,19.26,18.81,19.06,1.0,0.7776018485442392
2026-08-21,18.85,19.53,18.68,19.43,2853200.0,54852125.0,0.04013856498890457,18.85,19.53,18.68,19.43,1.0,0.8526515754629517
2026-08-24,19.47,23.32,19.37,23.32,14211784.0,324645243.0,0.19993011905659405,19.47,23.32,19.37,23.32,1.0,4.311622815493657
2026-08-25,24.33,25.48,23.86,23.98,26144739.0,641165159.0,0.36780187349973636,24.33,25.48,23.86,23.98,1.0,4.80195525006893
2026-08-26,23.87,23.97,22.99,23.2,17354081.0,405257861.0,0.24413567504598835,23.87,23.97,22.99,23.2,1.0,1.7504735152999589
2026-08-27,23.2,23.34,22.56,22.67,12605600.0,286495003.0,0.17733446474980213,23.2,23.34,22.56,22.67,1.0,0.996175059511613
2026-08-28,22.69,22.83,22.09,22.13,8429566.0,187980706.0,0.11858638816741214,22.69,22.83,22.09,22.13,1.0,0.5760307956041298
2026-08-31,22.19,23.9,22.0,23.06,19576810.0,450188608.0,0.2754048298263132,22.19,23.9,22.0,23.06,1.0,1.243038832435063
2026-09-01,23.0,23.95,22.41,23.35,16316189.0,380762356.0,0.22953470228086004,23.0,23.95,22.41,23.35,1.0,0.969922398546793
2026-09-02,22.75,23.23,22.5,22.8,8753000.0,199519348.0,0.12313642904383909,22.75,23.23,22.5,22.8,1.0,0.5891717382912736
2026-09-03,22.84,23.08,22.44,22.56,6524890.0,147593468.0,0.09179157483192679,22.84,23.08,22.44,22.56,1.0,0.4967093686599499
2026-09-04,22.58,23.2,22.18,22.31,7349251.0,166507626.0,0.10338861239424922,22.58,23.2,22.18,22.31,1.0,0.6165431958531189
2026-09-07,22.04,22.63,22.01,22.27,5974170.0,133395604.0,0.08404409463050751,22.04,22.63,22.01,22.27,1.0,0.5104370905469467
